timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650012112376,1495,Item1-Tejas49,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-8,,true,,6381,2027,7,7,null,1492,3,66
1650012113837,48,Cart-218,200,OK,AddToCart 4-6,text,true,,5963,510,7,7,https://www.demoblaze.com/cart.html,44,0,0
1650012113576,313,Login-38,200,OK,AddToCart 4-10,text,true,,449,477,7,7,https://api.demoblaze.com/login,313,0,63
1650012113665,269,PlaceOrder-330,200,OK,AddToCart 4-4,text,true,,316,468,7,7,https://api.demoblaze.com/deletecart,269,0,0
1650012113374,559,PlaceOrder-Tejas45,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-4,,true,,765,950,7,7,null,559,1,0
1650012113874,61,Item2-106,200,OK,AddToCart 4-8,text,true,,22049,517,7,7,https://www.demoblaze.com/prod.html?idp_=5,45,0,0
1650012113689,270,Item1-80,200,OK,AddToCart 4-9,text,true,,449,476,6,6,https://api.demoblaze.com/view,270,0,0
1650012113758,319,Delete1-238,200,OK,AddToCart 4-5,text,true,,316,493,6,6,https://api.demoblaze.com/deleteitem,319,0,0
1650012114078,45,Delete1-239,200,OK,AddToCart 4-5,text,true,,5871,482,6,6,https://www.demoblaze.com/cart.html,43,0,0
1650012113885,282,Cart-225,200,OK,AddToCart 4-6,text,true,,449,480,6,6,https://api.demoblaze.com/viewcart,282,0,0
1650012113837,330,Cart-Tejas47,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-6,,true,,6412,990,6,6,null,326,0,0
1650012113936,323,Item2-121,200,OK,AddToCart 4-8,text,true,,449,481,6,6,https://api.demoblaze.com/addtocart,323,0,0
1650012113959,303,Item1-84,200,OK,AddToCart 4-9,text,true,,449,481,6,6,https://api.demoblaze.com/addtocart,303,0,0
1650012113890,469,Login-39,200,OK,AddToCart 4-10,text,true,,519,484,6,6,https://api.demoblaze.com/login,469,0,0
